,name,geometry,boundary
32,Sector 110,"POLYGON ((77.008175 28.5013412, 77.0122796 28.5063038, 77.0156032 28.5097268, 77.0165098 28.5107002, 77.0186166 28.5133462, 77.0234394 28.5187849, 77.0248151 28.5145133, 77.025258 28.5130918, 77.0253975 28.5126548, 77.0254104 28.5126143, 77.0254531 28.5124925, 77.0254873 28.5123811, 77.0255145 28.5122734, 77.0256752 28.5117855, 77.0266538 28.5085899, 77.0269322 28.5078503, 77.0251016 28.5055276, 77.0246723 28.5050072, 77.0181865 28.4973408, 77.0165107 28.4953561, 77.0094096 28.5005242, 77.008175 28.5013412))",administrative
33,Sector 110A,"POLYGON ((77.0234394 28.5187849, 77.0251671 28.5206665, 77.0326049 28.5144708, 77.0269322 28.5078503, 77.0266538 28.5085899, 77.0256752 28.5117855, 77.0255145 28.5122734, 77.0254873 28.5123811, 77.0254531 28.5124925, 77.0254104 28.5126143, 77.0253975 28.5126548, 77.025258 28.5130918, 77.0248151 28.5145133, 77.0234394 28.5187849))",administrative
34,Sector 112,"POLYGON ((77.0105771 28.5257745, 77.0185792 28.5348138, 77.0206217 28.5286783, 77.021116 28.5271935, 77.0212491 28.5266786, 77.021411 28.5260523, 77.022514 28.5217849, 77.0234394 28.5187849, 77.0186166 28.5133462, 77.0165929 28.5145574, 77.0139811 28.5161177, 77.0125525 28.5169683, 77.012884 28.5172777, 77.0144723 28.518757, 77.0169637 28.5210774, 77.0146291 28.5243485, 77.0109551 28.5254602, 77.0105771 28.5257745))",administrative
35,Sector 113,"POLYGON ((77.0185792 28.5348138, 77.0197006 28.536218, 77.0217025 28.5349596, 77.0219253 28.5347748, 77.0232547 28.5335616, 77.0245904 28.5327132, 77.0297824 28.5317014, 77.0298669 28.5316849, 77.0321199 28.5310788, 77.0340512 28.5300656, 77.0251671 28.5206665, 77.0234394 28.5187849, 77.022514 28.5217849, 77.021411 28.5260523, 77.0212491 28.5266786, 77.021116 28.5271935, 77.0206217 28.5286783, 77.0185792 28.5348138))",administrative
36,Sector 1,"POLYGON ((77.0326049 28.5144708, 77.0424046 28.5256984, 77.0431514 28.5252371, 77.0433583 28.5251547, 77.0433705 28.5241645, 77.0446105 28.5230838, 77.0485082 28.52092, 77.0462065 28.5166427, 77.0449278 28.5139512, 77.0447952 28.5136812, 77.0433931 28.5120836, 77.0422628 28.5107696, 77.0417925 28.5101533, 77.0403999 28.5106473, 77.0383299 28.5122747, 77.0355656 28.5141778, 77.03461 28.5148941, 77.0326049 28.5144708))",administrative
37,Sector 2,"POLYGON ((77.0246723 28.5050072, 77.0251016 28.5055276, 77.0269322 28.5078503, 77.0326049 28.5144708, 77.03461 28.5148941, 77.0355656 28.5141778, 77.0383299 28.5122747, 77.0403999 28.5106473, 77.0417925 28.5101533, 77.0404125 28.5085831, 77.0394542 28.5074926, 77.0389255 28.5068926, 77.0386085 28.5065152, 77.0380976 28.505907, 77.0373702 28.5050368, 77.0362827 28.5037144, 77.036134 28.5035748, 77.036036 28.5035686, 77.0358487 28.5035567, 77.0350815 28.5035081, 77.0337888 28.5034954, 77.0328757 28.5034864, 77.0317307 28.5033219, 77.0313775 28.5032711, 77.0299593 28.5028198, 77.0287828 28.5021117, 77.028583 28.5023417, 77.0246723 28.5050072))",administrative
38,Sector 3,"POLYGON ((77.0109259 28.4886735, 77.0146077 28.4930791, 77.0165107 28.4953561, 77.0181865 28.4973408, 77.0246723 28.5050072, 77.028583 28.5023417, 77.0287828 28.5021117, 77.0276614 28.5012252, 77.0275848 28.5011891, 77.0271299 28.5008401, 77.0265895 28.5004621, 77.0261739 28.5002066, 77.0250318 28.4993556, 77.0247275 28.4990952, 77.0236939 28.4984019, 77.023048 28.4979102, 77.0224956 28.4972934, 77.0222133 28.4969782, 77.0215741 28.4961561, 77.0208937 28.4952809, 77.0203143 28.4945172, 77.0200421 28.4938902, 77.0197718 28.492776, 77.0196937 28.4918752, 77.0196641 28.4909381, 77.0197086 28.4905109, 77.0197199 28.4904021, 77.0197736 28.4893743, 77.0198358 28.4884487, 77.0197414 28.4854609, 77.0182265 28.4847522, 77.0159596 28.4812152, 77.0145164 28.4807364, 77.0125245 28.4851382, 77.0109952 28.4885202, 77.0109259 28.4886735))",administrative
39,Sector 3A,"POLYGON ((76.9997428 28.4754929, 77.0085706 28.4858551, 77.0109259 28.4886735, 77.0109952 28.4885202, 77.0125245 28.4851382, 77.0145164 28.4807364, 77.0019787 28.4764407, 76.9997428 28.4754929))",administrative
40,Sector 4,"POLYGON ((77.0019787 28.4764407, 77.0145164 28.4807364, 77.0179221 28.4736808, 77.0112368 28.4710876, 77.0054286 28.4688345, 77.0019787 28.4764407))",administrative
41,Sector 9A,"POLYGON ((76.9881219 28.4676144, 76.9887947 28.4679944, 76.9898798 28.4686072, 76.9918743 28.469506, 76.9950629 28.4713895, 76.9972731 28.4731437, 76.9997428 28.4754929, 77.0019787 28.4764407, 77.0054286 28.4688345, 76.9899699 28.4634896, 76.9881219 28.4676144))",administrative
42,Sector 5,"POLYGON ((77.0145164 28.4807364, 77.0159596 28.4812152, 77.0182265 28.4847522, 77.0197414 28.4854609, 77.023387 28.4814427, 77.0179221 28.4736808, 77.0145164 28.4807364))",administrative
43,Sector 6,"POLYGON ((77.0179221 28.4736808, 77.023387 28.4814427, 77.0252539 28.4805751, 77.0274211 28.4799715, 77.030275 28.4792926, 77.0320237 28.4787385, 77.0311118 28.4766142, 77.0297814 28.4746904, 77.0296069 28.4743603, 77.0290733 28.4733511, 77.0279168 28.4702681, 77.0267023 28.4677037, 77.0231263 28.4702426, 77.0221822 28.4708631, 77.0179221 28.4736808))",administrative
44,Sector 7,"POLYGON ((77.0054286 28.4688345, 77.0112368 28.4710876, 77.0179221 28.4736808, 77.0221822 28.4708631, 77.0231263 28.4702426, 77.0218517 28.4694042, 77.0216179 28.4691939, 77.0207435 28.4667789, 77.0205224 28.4664031, 77.0187962 28.4632773, 77.0178941 28.4603238, 77.0178518 28.4602182, 77.0172995 28.4588395, 77.0157669 28.4570389, 77.0130315 28.457042, 77.0126817 28.4570424, 77.0110296 28.4571011, 77.0108667 28.4573918, 77.0054286 28.4688345))",administrative
45,Sector 20,"POLYGON ((77.0746225 28.5119073, 77.0749677 28.5125409, 77.0769495 28.5145122, 77.0781524 28.5157087, 77.0787666 28.5162284, 77.0795515 28.5169518, 77.0800435 28.5175646, 77.0804111 28.5180224, 77.0827494 28.5170898, 77.0830606 28.5169698, 77.0840906 28.5166587, 77.0846262 28.5164992, 77.0859574 28.5161025, 77.0925943 28.5142311, 77.092899 28.5121524, 77.0932423 28.5109928, 77.095482 28.5069595, 77.0951239 28.5051167, 77.0930397 28.502044, 77.0930223 28.5020237, 77.0919011 28.5010754, 77.0916743 28.5009315, 77.0911395 28.5012251, 77.083368 28.506939, 77.07916 28.5100327, 77.0774536 28.5112873, 77.0764205 28.511393, 77.0763485 28.5114004, 77.0761245 28.5114603, 77.0746225 28.5119073))",administrative
